INDTITLE,IND_2000
Auto defrosters (mfg.),357
"Auto detailing, exc. repair",878
"Auto detailing, repair",877
Auto diagnostic center,877
Auto distributors (mfg.),357
Auto distributors (whsl.),407
Auto doctor,877
Auto drive away service,629
Auto driving instruction,789
Auto driving school,789
Auto electrical service,877
Auto emissions testing,877
Auto engines (mfg.),357
"Auto exhaust system, repair",877
Auto fabrics (mfg.),148
Auto factory (mfg.),357
Auto fenders (mfg.),357
Auto filters (mfg.),357
Auto finance,689
Auto finance agency,689
Auto fire insurance,699
"Auto floor coverings, woven (mfg.)",157
"Auto floor mats, rubber (mfg.)",239
Auto frames (mfg.),357
"Auto freight, trucking",617
Auto garage \ any not listed,877
"Auto garage, repair (ret.)",877
"Auto garage, storage",909
Auto gears (mfg.),357
Auto generator rebuilding,877
Auto generators (mfg.),357
Auto glass (mfg.),249
Auto glass (whsl.),407
"Auto glass, sale and installation",877
Auto governors (mfg.),357
"Auto hand tools, precision (whsl.)",407
Auto hardware (mfg.),298
Auto headlights (mfg.),357
Auto heaters (mfg.),357
Auto hoods (mfg.),357
Auto horns (mfg.),357
"Auto hose, plastic (mfg.)",239
"Auto hose, rubber (mfg.)",239
Auto hub caps (mfg.),357
Auto ignition service,877
Auto ignitions (mfg.),357
Auto inn,866
Auto inner tubes (mfg.),238
Auto inspection service,877
Auto insurance,699
Auto insurance adjustment,699
Auto laundry,878
"Auto leasing, exc. finance, without driver",708
Auto license plates (mfg.),278
"Auto license service, exc. government",778
Auto license tags (mfg.),278
Auto lifts (mfg.),319
Auto lights (mfg.),357
Auto locks (mfg.),298
Auto lubrication service,877
Auto machine shop service,288
"Auto moldings, metal (mfg.)",357
Auto motor rebuilding shop,877
Auto muffler (mfg.),357
"Auto muffler shop, sales and installation",877
"Auto mufflers, sale and installation",877
Auto oil filters (mfg.),357
Auto owners' club,917
Auto paint shop,877
Auto parking facilities,909
Auto parking garage,909
Auto parking grounds,909
Auto parking lot,909
Auto parking service,909
Auto parking station,909
Auto parts (mfg.)--Code by specified type of product,
Auto parts (ret.),469
Auto parts (whsl.),407
Auto parts \ n.s. (mfg.),357
Auto parts depot (whsl.),407
"Auto parts, used (ret.)",469
"Auto parts, used (whsl.)",407
Auto phone installation (ret.),469
Auto phone sales and installation (ret.),469
Auto piston ring service,877
Auto plates (mfg.),278
Auto polishes (mfg.),228
Auto pollution control equipment (mfg.),357
Auto proving and testing grounds,729
Auto racing,856
Auto radiator repair,877
Auto radiators (mfg.),357
Auto reconditioning,877
"Auto rental, with driver",619
"Auto rental, without driver",708
Auto repair and sales (ret.),467
Auto repair garage,877
"Auto repair, exc. sales",877
Auto repossession service,759
Auto restoration,877
Auto sales (ret.),467
Auto sales (whsl.),407
Auto sales and service (ret.),467
Auto salvage co. (whsl.),428
Auto school for drivers,789
"Auto seat belts, exc. leather (mfg.)",357
Auto seat covers (mfg.),357
Auto seat covers (ret.),469
"Auto seat frames, metal (mfg.)",357
Auto seats (mfg.),357
Auto service center \ any not listed (ret.),509
"Auto service center, lubrication",877
Auto service station (ret.),509
Auto service station and repair (ret.),509
Auto shock absorbers (mfg.),357
Auto show organizers and promoters,778
Auto signaling devices (mfg.),357
Auto skid chains (mfg.),298
Auto spark plugs (mfg.),357
Auto spotlights (mfg.),357
Auto spring replacement,877
Auto springs (mfg.),298
Auto stampings (mfg.),357
Auto steam cleaning exhaust systems,878
Auto storage garage,909
Auto supplies (ret.),469
Auto supplies (whsl.),407
Auto supply depot (whsl.),407
Auto tags (mfg.),278
Auto theft insurance,699
Auto tire recapping (mfg.),238
Auto tire sales and service (ret.),469
Auto tires (mfg.),238
Auto tires (ret.),469
Auto tires (whsl.),407
"Auto title and tag service, exc. government",778
"Auto tops, exc. metal (mfg.)",357
"Auto tops, metal (mfg.)",357
Auto towing service,629
Auto trade school,788
Auto trailers (ret.),468
"Auto trailers, new and used (ret.)",468
Auto train,608
Auto transmission (mfg.),357
Auto transmission parts (mfg.),357
Auto transmission repair,877
"Auto transport service, trucking",617
Auto trim shop,877
"Auto trim, metal (mfg.)",357
Auto upholstery and trim shops,877
Auto upholstery tape (mfg.),148
Auto valves (mfg.),357
Auto wash rack,878
Auto wash service,878
Auto washing and polishing,878
Auto welding shop,887
Auto wheel alignment service,877
Auto wheels (mfg.),357
Auto windshield wipers (mfg.),357
Auto windshields (mfg.),357
"Auto wrecker service, towing",629
Auto wrecking (whsl.),428
Auto wrecking yard (whsl.),428
"Auto, antique (ret.)",467
"Auto, children's (mfg.)",397
"Auto, new and used (ret.)",467
"Auto, new and used (whsl.)",407
"Auto, secondhand (ret.)",467
"Auto, trucks (mfg.)",357
"Auto, used (ret.)",467
"Autoclaves, industrial (mfg.)",287
"Autoclaves, laboratory (mfg.)",396
"Autoclaves, medical (mfg.)",396
Autogiros (mfg.),358
Automat (ret.),868
Automatic Teller Machines (ATM's) (mfg.),336
Automatic Teller Machines (ATM) (whsl.),417
Automatic auto wash service,878
Automatic bowling pin machines (mfg.),397
Automatic bowling pinsetters (mfg.),397
Automatic chucking machines (mfg.),317
Automatic flight instruments (mfg.),338
Automatic laundry,907
Automatic list finders (mfg.),309
Automatic merchandising machine operators (ret.),567
"Automatic merchandising machines, coin-operated (mfg.)",309
Automatic pencils (mfg.),398
"Automatic pilots, aircraft (mfg.)",338
Automatic screw-machines (mfg.),317
Automatic sprinkler systems (mfg.),319
Automatic sprinkler systems (whsl.),427
"Automatic water heaters, electric (mfg.)",347
"Automatic water heaters, exc. electric (mfg.)",347
Automobile racing schools,789
Automotive accessories (ret.),469
Automotive accessories (whsl.),407
"Automotive cable, nonferrous (mfg.)",268
Automotive equipment (mfg.),357
Automotive equipment (ret.),469
Automotive equipment (whsl.),407
"Automotive equipment, electrical (mfg.)",357
Automotive felts (mfg.),148
"Automotive instruments, electrical (mfg.)",357
Automotive maintenance equipment (mfg.),309
Automotive parts (ret.),469
Automotive parts (whsl.),407
"Automotive parts, secondhand (ret.)",469
Automotive supplies (ret.),469
Automotive supplies (whsl.),407
Automotive transport,617
Automotive voltage regulators (mfg.),357
Automotive wheel balancing equipment (mfg.),309
Automotive wiring harness sets (mfg.),357
"Automotive wiring harness sets, ignition (mfg.)",357
"Autophones, exc. organs with music rolls (mfg.)",337
"Autophones, organs with music rolls (mfg.)",398
Auxiliary computer storage units (mfg.),336
Aviaries,857
Aviary,018
Aviation \ n.s.,607
Aviation club,859
Aviation school,788
Avionics (mfg.),359
Avon products (ret.),569
Avon products (whsl.),438
Awls (mfg.),279
Awning cloth (mfg.),159
Awnings (ret.),558
Awnings (whsl.),409
"Awnings, aluminum (mfg.)",287
"Awnings, canvas or fabric (mfg.)",159
"Awnings, metal (mfg.)",287
"Awnings, plastic and fiber glass combined (mfg.)",237
"Awnings, sheet metal (mfg.)",287
"Awnings, wood (mfg.)",387
Ax handles (mfg.),387
Axes (mfg.),279
Axle grease (mfg.),209
"Axle housings and shafts, auto (mfg.)",357
"Axles, auto (mfg.)",357
"Axles, farm tractor (mfg.)",307
"Axles, rolled or forged (mfg.)",267
Axminster rugs (mfg.),157
Babbitt metal (mfg.),269
Baby bassinets (mfg.),389
Baby bathinettes (mfg.),389
"Baby carriages, dolls (mfg.)",397
"Baby carriages, infants (mfg.)",389
Baby clothing (ret.),517
Baby cradles (mfg.),389
Baby cribs (mfg.),389
"Baby foods, canned, including meat (mfg.)",109
Baby formula (mfg.),117
Baby furniture (mfg.),389
Baby pants (mfg.),168
Baby powder (mfg.),228
Baby scales (mfg.),319
Baby shoe bronzing,909
"Baby strollers, dolls (mfg.)",397
"Baby strollers, infants (mfg.)",389
"Baby teething rings, exc. rubber (mfg.)",398
"Baby teething rings, rubber (mfg.)",239
Baby tenders (mfg.),397
"Baby walkers, dolls (mfg.)",397
"Baby walkers, infants (mfg.)",389
Baby-sitter \ place n.s.,847
Baby-sitter employment service,758
Baby-sitter in business establishment,847
Baby-sitters register,758
Baby-sitting agency,758
Baby-sitting bureaus,758
"Baby-sitting, home of others",929
"Baby-sitting, own home",847
Backfillers (mfg.),308
Backhoe service (const.),077
Backhoes (mfg.),308
Bacon (mfg.),118
Bacteriological laboratory apparatus (mfg.),396
Bacteriological laboratory instruments (mfg.),396
"Bacteriological laboratory, non-manufacturing",818
Bacteriological products (mfg.),219
"Badges, exc. fabric (mfg.)",298
"Badges, fabric (mfg.)",159
Badminton equipment (mfg.),397
Baffles (mfg.),287
Bag cleaning co. (whsl.),428
Bag reclaiming (whsl.),428
Bag repairing co. (whsl.),428
Bagatelle tables (mfg.),397
Bagel shop,868
"Bagel shops, full service (ret.)",868
Bagels (mfg.),127
"Bagels, on premise baking and carryout (ret.)",868
"Baggage transfer, trucking",617
"Bagging, cotton (mfg.)",148
"Bagging, knit (mfg.)",167
Bags \ any not listed (mfg.),159
"Bags, boston (mfg.)",179
"Bags, cellophane, exc. printed (mfg.)",237
"Bags, cellophane, printed (mfg.)",199
"Bags, cement, paper (mfg.)",189
"Bags, coal, paper (mfg.)",189
"Bags, feed for horses (mfg.)",179
"Bags, flour, paper (mfg.)",189
"Bags, frozen food (mfg.)",237
"Bags, garment, paper (mfg.)",189
"Bags, glassine (mfg.)",189
"Bags, golf (mfg.)",397
"Bags, grocer's, exc. paper (mfg.)",237
"Bags, grocer's, paper (mfg.)",189
"Bags, leather (mfg.)",179
"Bags, luggage (mfg.)",179
"Bags, merchandise, exc. paper",237
"Bags, merchandise, paper (mfg.)",189
"Bags, mothproof (mfg.)",189
"Bags, paper (mfg.)",189
"Bags, paper (whsl.)",437
"Bags, plastic (whsl.)",437
"Bags, plastic printed",199
"Bags, plastic without printing (mfg.)",237
"Bags, punching (mfg.)",397
"Bags, rosin (mfg.)",397
"Bags, rubber (mfg.)",159
"Bags, school (mfg.)",179
"Bags, shipping, paper (mfg.)",189
"Bags, shopping, paper (mfg.)",189
"Bags, textile (whsl.)",458
Bail bonding,909
"Bailers--See ""Balers""",
Bailing wells (ext.),049
Bait (ret.),527
Bait digging,018
Bait shops (ret.),527
"Bait, artificial (mfg.)",397
Bake shop (ret.),498
"Baked beans, canned (mfg.)",109
"Baked beans, exc. canned (mfg.)",128
Baked goods (mfg.),127
Baked goods (ret.),119
Baked ham store (ret.),498
Bakelite insulators (mfg.),349
Bakelite plastic material (mfg.),217
Bakers' and confectioners' food supplies (whsl.),447
Bakers' cheese (mfg.),117
"Bakers' equipment, wooden (mfg.)",387
Bakers' malt (mfg.),128
Bakers' oven (const.),077
Bakers' service apparel (mfg.),168
Bakery (mfg.),127
Bakery (ret.),119
Bakery \ n.s. (mfg.),127
Bakery and coffee shop (ret.),868
Bakery machinery (mfg.),319
Bakery machinery and equipment (whsl.),427
Bakery ovens (mfg.),319
Bakery products (mfg.),127
Bakery products (whsl.),447
"Bakery shop, not made on premise (ret.)",498
"Bakery, baking and selling (ret.)",119
"Bakeware, cast aluminum (mfg.)",268
"Bakeware, enameled (mfg.)",278
"Bakeware, glass (mfg.)",249
"Bakeware, pottery (mfg.)",247
Baking chocolate (mfg.),108
Baking powder (mfg.),128
"Balances, exc. laboratory (mfg.)",319
"Balances, laboratory (mfg.)",396
Balancing machines (mfg.),309
"Balconies, metal (mfg.)",287
"Bale dyeing, cotton or silk (mfg.)",149
"Bale dyeing, knit goods (mfg.)",167
"Bale dyeing, wool, exc. knit (mfg.)",148
"Bale ties, wire (whsl.)",418
"Balers, agricultural (mfg.)",307
Baling hooks (mfg.),279
"Baling machines, industrial (mfg.)",319
Ball bats (mfg.),397
Ball bearings (mfg.),298
Ball clay (ext.),047
Ball club,856
"Ball mill, gold (ext.)",039
Ball point pens (mfg.),398
"Ball point, refill cartridges (mfg.)",398
Ballast forks (mfg.),279
"Ballasts, lighting fixtures (mfg.)",349
Ballet production,856
Ballet schools (except academic),789
Ballet slippers (mfg.),177
Ballistic missiles (mfg.),359
"Balloon cloth, cotton (mfg.)",148
Balloon flying,859
Balloon shops (ret.),557
"Balloons, advertising (mfg.)",239
"Balloons, aircraft (mfg.)",358
"Balloons, plastic (mfg.)",237
"Balloons, toy (mfg.)",239
Ballroom operation,856
"Balls, exc. steel (mfg.)",397
"Balls, steel (mfg.)",267
Balsam needles gathering,019
Bamboo curtains (mfg.),159
Bamboo draperies (mfg.),159
Bamboo furniture (mfg.),389
Bamboo place mats (mfg.),159
Banana boat,609
Band camp,789
Band house,856
Band instruments (mfg.),398
"Band, dance",856
Bandages (whsl.),438
"Bandages, surgical (mfg.)",396
Banding spindle (mfg.),148
Bandoleers (mfg.),159
"Bands, rubber (mfg.)",239
"Bands, viscose (mfg.)",217
"Bands, wooden (mfg.)",387
"Bandsaws, woodworking (mfg.)",319
Banjo parts (mfg.),398
Banjos (mfg.),398
Bank \ any not listed,687
Bank and trust co.,687
Bank building,707
Bank clearing house,689
Bank deposit insurance,699
Bank for cooperatives,689
Bank forms (mfg.),199
Bank holding co.,757
"Bank indicators, aircraft (mfg.)",338
Bank notes (mfg.),199
"Bank, FSB",688
"Bank, Federal Reserve",687
"Bank, federal, exc. reserve",688
"Bank, fixtures, metal (mfg.)",287
"Bank, savings",688
"Bank, savings and loan",688
Bankers' protection patrol,768
"Bankers, investment",697
Banking agency,687
Banking institution,687
Banking schools,788
Bankruptcy estates,697
Bankruptcy referee,727
"Banks, toy (mfg.)",397
Banner shop (ret.),558
"Banners, fabric (mfg.)",159
"Banquet, exc. hotel",868
"Banquet, hotel",866
"Baptismal fonts, cut stone (mfg.)",259
Bar (ret.),869
Bar and cafe (ret.),868
Bar and liquor store (ret.),869
Bar and lounge (ret.),869
Bar and restaurant (ret.),868
"Bar and restaurant, nonprofit membership organization PR NON",917
Bar association,919
Bar fixtures (mfg.),389
"Bar, nonprofit membership organization",917
"Bar, restaurant, and liquor store",868
Barbecue braziers (mfg.),347
Barbecue sauce (mfg.),109
Barbecue stand (ret.),868
Barber and beauty shop,898
Barber chairs (mfg.),389
Barber college,788
Barberry eradication,029
Barbers' apparel (mfg.),168
Barbers' clippers (mfg.),347
Barbers' equipment (whsl.),427
Barbers' scissors (mfg.),279
Barbers' shears hand (mfg.),279
Barbers' supplies (whsl.),427
Barbershop \ n.s.,897
Barbershop equipment (whsl.),427
"Barbershop equipment, exc. barber chairs (mfg.)",309
"Barbershop, hotel",897
Barge,609
Barge line,609
"Barge sections, prefabricated, metal (mfg.)",287
Barges (mfg.),368
"Barges, repairing (mfg.)",629
Barites (ext.),047
Barites (mfg.),259
Barium (ext.),047
Barium (mfg.),259
Barium compounds (mfg.),229
"Bark cloth, cotton (mfg.)",148
Bark gathering,019
Barley malt (mfg.),107
Barmen laces (mfg.),167
Barn equipment (mfg.),307
Barn stanchions (mfg.),307
Barn standards (mfg.),307
Barometers (mfg.),338
Barrel heading (mfg.),387
